Date,Day,Petrol Price,Diesel Price,Dollar Value,Oil Barrel,Barrel Cost,Moving Avg
13-Aug-17,Sunday,70.19,60.26,64.0893,48,3076.2864,3105.914795
14-Aug-17,Monday,70.4,60.27,64.1827,47.59,3054.454693,3090.261484
15-Aug-17,Tuesday,70.53,60.32,64.2715,47.55,3056.109825,3072.190099
16-Aug-17,Wednesday,70.59,60.38,64.0105,46.78,2994.41119,3045.315527
17-Aug-17,Thursday,70.7,60.42,64.1959,47.09,3022.984931,3031.99016
18-Aug-17,Friday,70.76,60.3,64.075,48.51,3108.27825,3045.446049
19-Aug-17,Saturday,70.83,60.2,64.0862,48.1,3082.54622,3052.055148
20-Aug-17,Sunday,70.85,60.08,64.0996,47.7,3057.55092,3067.84008
21-Aug-17,Monday,71.01,60.01,64.1715,47.37,3039.803955,3072.044836
22-Aug-17,Tuesday,71.15,60.06,64.0717,47.64,3052.375788,3058.069221
23-Aug-17,Wednesday,71.22,60.05,64.0127,48.41,3098.854807,3062.146368
24-Aug-17,Thursday,71.37,60.06,64.0398,47.43,3037.407714,3057.110566
25-Aug-17,Friday,71.51,60.02,63.8416,47.87,3056.097392,3061.183925
26-Aug-17,Saturday,71.52,59.97,63.9912,47.44,3035.742528,3057.02561
27-Aug-17,Sunday,71.56,60.04,64.0167,47,3008.7849,3034.508134
28-Aug-17,Monday,71.6,60.03,63.7917,46.57,2970.779469,3017.851072
29-Aug-17,Tuesday,71.62,60.02,64.0097,46.44,2972.610468,2996.979341
30-Aug-17,Wednesday,71.62,60.02,63.9899,45.96,2940.975804,2973.28766
31-Aug-17,Thursday,71.66,60.06,63.9284,47.23,3019.338332,2975.926018
01-Sep-17,Friday,71.78,60.14,63.8045,47.29,3017.314805,2987.559852
02-Sep-17,Saturday,72.265,60.23,63.8045,47.3,3017.95285,2998.895448
03-Sep-17,Sunday,72.08,60.3,64.0305,47.32,3029.92326,3021.132312
04-Sep-17,Monday,72.2,60.41,64.049,47.41,3036.56309,3025.438501
05-Sep-17,Tuesday,72.25,60.49,64.1168,48.66,3119.923488,3051.090672
06-Sep-17,Wednesday,72.25,60.49,64.0603,49.16,3149.204348,3083.903547
07-Sep-17,Thursday,72.34,60.64,63.96,49.09,3139.7964,3111.371832
08-Sep-17,Friday,72.44,60.84,63.942,47.48,3035.96616,3111.222599
09-Sep-17,Saturday,72.58,61.13,63.9362,47.68,3048.478016,3093.361231
10-Sep-17,Sunday,72.73,61.46,63.9444,47.88,3061.657872,3071.474612
11-Sep-17,Monday,72.87,61.73,63.9723,48.07,3075.148461,3055.312627
12-Sep-17,Tuesday,72.95,61.84,63.9929,48.23,3086.377567,3067.915479
13-Sep-17,Wednesday,72.95,61.84,64.1146,49.3,3160.84978,3096.00842
14-Sep-17,Thursday,72.97,61.87,64.1432,49.89,3200.104248,3130.620014
15-Sep-17,Friday,73.01,61.93,64.1569,49.89,3200.787741,3162.029834
16-Sep-17,Saturday,73.06,61.98,64.1349,49.9,3200.33151,3190.51832
17-Sep-17,Sunday,73.09,62.02,64.1453,49.91,3201.491923,3200.678856
18-Sep-17,Monday,73.09,62.05,64.2495,49.91,3206.692545,3202.32593
19-Sep-17,Tuesday,73.1,61.99,64.2956,49.48,3181.346288,3197.465567
20-Sep-17,Wednesday,73.1,61.92,64.277,50.41,3240.20357,3207.433582
21-Sep-17,Thursday,73.1,61.82,64.8151,50.55,3276.403305,3226.161427
22-Sep-17,Friday,73.05,61.82,64.7594,50.66,3280.711204,3244.666092
23-Sep-17,Saturday,73,61.82,64.7594,51.29,3321.509626,3279.706926
24-Sep-17,Sunday,72.97,61.85,64.9121,51.92,3370.236232,3312.215092
25-Sep-17,Monday,72.99,61.85,65.2751,52.22,3408.665722,3345.280696
26-Sep-17,Tuesday,72.99,61.81,65.3547,51.88,3390.601836,3372.753354
27-Sep-17,Wednesday,72.99,61.81,65.5349,52.14,3416.989686,3396.623369
28-Sep-17,Thursday,73.04,61.83,65.3726,51.56,3370.611256,3396.717125
29-Sep-17,Friday,73.15,61.91,65.289,51.67,3373.48263,3387.921352
30-Sep-17,Saturday,73.25,62,65.289,51.31,3349.97859,3377.765541
01-Oct-17,Sunday,73.36,62.06,65.303,50.95,3327.18785,3355.315082
02-Oct-17,Monday,73.43,62.22,65.581,50.58,3317.08698,3341.934013
03-Oct-17,Tuesday,73.48,62.3,65.4611,50.42,3300.548662,3323.700521
04-Oct-17,Wednesday,70.85,59.89,65.024,49.98,3249.89952,3298.680753
05-Oct-17,Thursday,70.85,59.9,65.2076,50.79,3311.894004,3294.857292
06-Oct-17,Friday,70.83,59.95,65.4004,49.29,3223.585716,3271.481976
07-Oct-17,Saturday,70.82,59.94,65.403,49.39,3230.25417,3253.908353
08-Oct-17,Sunday,70.86,59.96,65.4228,49.49,3237.774372,3250.877066
09-Oct-17,Monday,70.93,60.01,65.4238,49.58,3243.712004,3233.831566
10-Oct-17,Tuesday,70.93,60.01,65.2575,50.92,3322.9119,3258.663112
11-Oct-17,Wednesday,70.96,60.04,65.1724,51.3,3343.34412,3286.935599
12-Oct-17,Thursday,70.93,60.02,65.0575,50.6,3291.9095,3300.469381
13-Oct-17,Friday,70.9,60.02,64.6662,51.45,3327.07599,3321.310378
14-Oct-17,Saturday,70.85,59.99,64.6879,51.59,3337.248761,3324.894593
15-Oct-17,Sunday,70.8,59.94,64.6864,51.73,3346.227472,3325.615431
16-Oct-17,Monday,70.76,59.91,64.7022,51.87,3356.103114,3341.663834
17-Oct-17,Tuesday,70.73,59.87,64.9361,51.88,3368.884868,3352.116054
18-Oct-17,Wednesday,70.73,59.87,65.0665,52.04,3386.06066,3364.319029
19-Oct-17,Thursday,70.8,59.95,64.8921,51.29,3328.315809,3359.841113
20-Oct-17,Friday,70.87,59.99,65.1514,51.47,3353.342558,3359.150974
21-Oct-17,Saturday,70.92,60.02,65.1218,51.61,3360.936098,3357.163781
22-Oct-17,Sunday,71.06,60.11,65.1173,51.75,3369.820275,3353.103685
23-Oct-17,Monday,71.08,60.14,65.0196,51.9,3374.51724,3364.654043
24-Oct-17,Tuesday,71.08,60.14,65.0894,52.47,3415.240818,3380.128608
25-Oct-17,Wednesday,71.1,60.17,64.8475,52.18,3383.74255,3385.830221
26-Oct-17,Thursday,71.14,60.23,64.9924,52.64,3421.199936,3398.675136
27-Oct-17,Friday,71.21,60.31,64.886,53.9,3497.3554,3429.384676
28-Oct-17,Saturday,71.34,60.47,64.886,53.97,3501.89742,3451.048827
29-Oct-17,Sunday,71.42,60.55,64.9692,54.06,3512.234952,3483.171927
30-Oct-17,Monday,71.58,60.69,64.8382,54.15,3510.98853,3505.619076
31-Oct-17,Tuesday,71.64,60.76,64.6728,54.38,3516.906864,3510.506942
01-Nov-17,Wednesday,71.65,60.79,64.5557,54.3,3505.37451,3511.376214
02-Nov-17,Thursday,71.77,60.9,64.5076,54.54,3518.244504,3512.878602
03-Nov-17,Friday,71.86,61,64.705,55.64,3600.1862,3535.17802
04-Nov-17,Saturday,72,61.11,64.7059,56.21,3637.118639,3565.230963
05-Nov-17,Sunday,72.08,61.16,64.7037,56.78,3673.876086,3607.356357
06-Nov-17,Monday,72.23,61.25,64.593,57.35,3704.40855,3653.897369
07-Nov-17,Tuesday,72.35,61.36,65.1734,57.2,3727.91848,3685.830439
08-Nov-17,Wednesday,72.35,61.36,64.9282,56.81,3688.571042,3698.69354
09-Nov-17,Thursday,72.4,61.41,64.9703,57.17,3714.352051,3708.812531
10-Nov-17,Friday,72.4,61.41,65.3177,56.74,3706.126298,3709.241968
11-Nov-17,Saturday,72.36,61.41,65.3177,56.74,3706.126298,3703.793922
12-Nov-17,Sunday,72.33,61.41,64.8072,56.75,3677.8086,3701.103312
13-Nov-17,Monday,72.33,61.41,65.4418,56.76,3714.476568,3701.134441
14-Nov-17,Tuesday,72.27,61.44,65.4212,55.7,3643.96084,3685.593077
15-Nov-17,Wednesday,72.22,61.42,65.2987,55.33,3612.977071,3662.30577
16-Nov-17,Thursday,72.19,61.41,65.2194,55.14,3596.197716,3641.903049
17-Nov-17,Friday,72.15,61.41,65.0156,56.55,3676.63218,3632.441952
18-Nov-17,Saturday,72.1,61.43,65.0156,56.38,3665.579528,3637.846624
19-Nov-17,Sunday,72.07,61.41,64.914,56.24,3650.76336,3647.293196
20-Nov-17,Monday,72.04,61.43,65.0372,56.09,3647.936548,3660.227904
21-Nov-17,Tuesday,72.06,61.43,64.7693,56.83,3680.839319,3661.279689
22-Nov-17,Wednesday,72.01,61.4,64.7843,58.02,3758.785086,3684.581078
23-Nov-17,Thursday,71.96,61.4,64.5884,58.38,3770.670792,3714.557936
24-Nov-17,Friday,71.94,61.43,64.5575,58.95,3805.664625,3753.989956
25-Nov-17,Saturday,71.88,61.43,64.5551,58.67,3787.447717,3780.642055
26-Nov-17,Sunday,71.84,61.44,64.5649,58.38,3769.298862,3783.270499
27-Nov-17,Monday,71.8,61.44,64.4531,58.11,3745.369641,3776.945211
28-Nov-17,Tuesday,71.78,61.47,64.4724,57.99,3738.754476,3760.217674
29-Nov-17,Wednesday,71.78,61.47,64.425,57.3,3691.5525,3736.24387
30-Nov-17,Thursday,71.76,61.5,64.5112,57.4,3702.94288,3719.654874
01-Dec-17,Friday,71.74,61.51,64.5088,58.36,3764.733568,3724.495856
02-Dec-17,Saturday,71.74,61.53,64.5088,58.06,3745.380928,3726.152469
03-Dec-17,Sunday,71.75,61.53,64.5096,57.77,3726.719592,3734.944242
04-Dec-17,Monday,71.75,61.55,64.3623,57.47,3698.901381,3733.933867
05-Dec-17,Tuesday,71.77,61.54,64.3639,57.62,3708.647918,3719.912455
06-Dec-17,Wednesday,71.76,61.56,64.5238,55.96,3610.751848,3686.255185
07-Dec-17,Thursday,71.75,61.56,64.5544,56.69,3659.588936,3669.472521
08-Dec-17,Friday,71.7,61.55,64.4866,57.36,3698.951376,3669.48502
09-Dec-17,Saturday,71.69,61.52,64.4881,57.57,3712.579917,3670.468019
10-Dec-17,Sunday,71.66,61.47,64.4838,57.78,3725.873964,3699.248548
11-Dec-17,Monday,71.63,61.47,64.3586,57.99,3732.155214,3717.390118
12-Dec-17,Tuesday,71.6,61.44,64.5588,57.14,3688.889832,3714.874732
13-Dec-17,Wednesday,71.58,61.42,64.3285,56.6,3640.9931,3696.978028
14-Dec-17,Thursday,71.58,61.43,64.2857,57.04,3666.856328,3682.223619
15-Dec-17,Friday,71.61,61.48,64.0669,57.3,3671.03337,3666.943158
16-Dec-17,Saturday,71.64,61.55,64.0669,57.26,3668.470694,3661.838373
17-Dec-17,Sunday,71.66,61.59,64.0831,57.2,3665.55332,3667.978428
18-Dec-17,Monday,71.7,61.67,64.2101,57.16,3670.249316,3668.826675
19-Dec-17,Tuesday,71.79,61.77,64.0565,57.46,3680.68649,3671.239955
20-Dec-17,Wednesday,71.87,61.88,63.9741,58.09,3716.255469,3683.186149
21-Dec-17,Thursday,71.95,61.99,64.02,58.36,3736.2072,3700.849619
22-Dec-17,Friday,72.03,62.05,64.0204,58.47,3743.272788,3719.105487
23-Dec-17,Saturday,72.12,62.17,64.0178,58.51,3745.681478,3735.354234
24-Dec-17,Sunday,72.09,62.27,64.0188,58.55,3748.30074,3743.365552
25-Dec-17,Monday,72.19,62.36,64.0205,58.59,3750.961095,3747.054025
26-Dec-17,Tuesday,72.17,62.48,64.0383,59.97,3840.376851,3771.330041
27-Dec-17,Wednesday,72.26,62.55,64.1233,59.64,3824.313612,3790.988075
28-Dec-17,Thursday,72.36,62.65,64.0703,59.84,3833.966752,3812.404578
29-Dec-17,Friday,72.45,62.75,63.8592,60.42,3858.372864,3839.25752
30-Dec-17,Saturday,72.49,62.78,63.8485,60.36,3853.89546,3842.637172
31-Dec-17,Sunday,72.53,62.83,63.8519,60.3,3850.26957,3849.126162
01-Jan-18,Monday,72.53,62.9,63.8784,60.24,3848.034816,3852.643178
02-Jan-18,Tuesday,72.53,62.96,63.4699,60.37,3831.677863,3845.969427
03-Jan-18,Wednesday,72.53,63.03,63.4336,61.63,3909.412768,3859.848754
04-Jan-18,Thursday,72.53,63.1,63.3949,62.01,3931.117749,3880.060799
05-Jan-18,Friday,72.55,63.15,63.3073,61.44,3889.600512,3890.452223
06-Jan-18,Saturday,72.69,63.35,63.3073,61.54,3895.931242,3906.515568
07-Jan-18,Sunday,72.625,63.55,63.2965,61.63,3900.963295,3904.4032
08-Jan-18,Monday,73.01,63.74,63.4629,61.73,3917.564817,3901.014967
09-Jan-18,Tuesday,73.12,63.92,63.6494,62.96,4007.366224,3930.456395
